review,rating
"2017-11-13T16:03:41Z I consider myself a wine lover but I���m not a wine snob. I decided to finally order wine from QVC and went for the mixed case as I do like reds and whites. After trying each variety, I regret the decision. While not horrible, they aren���t good either. These aren���t wines I���d serve to anyone or drink again let alone purchase again. The ros�� is a sweet wine no doubt about it, which isn���t my taste, but it was described as being not too sweet. The chardonnay is the strangest tasting chardonnay I���ve ever tasted. It was described as not being too oaky. I guess I like my chardonnay oaky. And the pinot noir, which the ���wine expert��� repeatedly mispronounced (RED FLAG) was just bland. The cabernet sauvingnon was supposed to be the best of the bunch and it was private reserve after all but just turned out to be disappointing as well. These wines were touted as having a retail value of $20-$25 per bottle but taste more like sub $10 per bottle, which is exactly how much it works out to when you buy the case. You get what you pay for, as they say. And if something sounds too good to be true, it probably is. Lessons learned in this case.",0
"2017-09-23T02:53:08Z This is my favorite beverage. Do not be afraid of the clam and tomato mix, it is fantastic. We drink a container per week. Some as Bloody Mary (Caesar). It has to be popular because Walmart is frequently sold out! I have tried the picante version, but the original is the best.",1
2017-09-06T04:49:34Z Taste great. But never enough in stock at the stores,1
"2017-09-23T02:53:08Z I keep a jar of this in my truck for everyday use. And I just love, love, love it!",1
"2017-09-02T07:55:36Z Purchased these with a sell by date of January 2016. Opened them November 28, 2015 and they were shrunk to 1/2 can capacity and smelled bad. The container was undamaged prior to opening,",0
2018-01-02T20:20:02Z I purchased these to give as gifts last year and when I tried the wine myself I spit it out and was mortified.I was so embarrassed that I gave these wines to people I know that I had to apologize and give another gift.This is by far some of the worst swill I’ve ever had.There are wines that are the same price from California wineries that are far superior.I would not even cook with this stuff.I wish I had discovered the poor quality and the offensive taste during the return period because they would have gone back. This is what they had in mind when they coined the expression “rot gut”.,0
2018-01-10T05:58:00Z I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,0
2017-09-20T01:18:35Z Bought last year and used once. Not strong enough to do much more than wash your car. Sprayer is plastic and not rugged. Sprayer ailed on me this year. Internal components rusted even though the washer was drained. Threaded connection to the sprayer is plastic. Cheaply made. Now junkyard.,0
"2017-08-15T03:05:22Z a little to sweet, does not taste like a margarita should",0
2017-09-23T02:53:08Z I love it in the can becaue you can put it on so easily.,1
"2017-09-20T01:18:35Z I have used the Black Max Pressure washer countless times since it arrived. I was able to clean green moss type mold from between the clay bricks in my courtyard that has been there for years. This piece of equipment is very easy to handle, even for a small person such as myself. I LOVE MY PRESSURE WASHER!!!!",1
2018-01-10T19:21:57Z Disappointed with the taste and consistency of these wines. My husband and I were looking forward to sharing them with friends on Christmas Eve. We tried the four variety to be fair and were not satisfied planning to send the rest back.,0
"2016-05-31T19:15:43Z I haven't had a chance to brew this beer, but everything about the process has been great so far. They are in state, so the package arrived timely and the protective shipping package was superb. The kit even has a funny coffee stain on it with a note basically saying they wont explain - but it's important. Funny detail, and gives me a sense of their personality. Also, due to this specific brew - you can probably expect your box to smell as absolutely jaw droppingly amazing as mine. Spice, malts, sweetness. Ughhhh. I keep opening and closing the box and sniffing the bags so much that my girlfriend is getting annoyed.The actual product itself is quite comprehensive - best kit I've purchased thus far. It comes with stickers for your bottle caps, (great idea guys!), was comparatively priced against competitors beers, a large bag of liquid malt, a smaller bag of dry malt, a can of pumpkin pie mix (debating tossing in another can on my own), brown sugar, a long vanilla bean stalk with a pouch of cinnamon, bittering hops, cheesecloth, priming sugar and dry yeast. Wow. Excellent care in their product for an absolutely appropriate price.I Cannot WAIT to brew this beer, and I absolutely anticipate doing a lot more business with Jaspers.",1
"2017-09-02T07:55:36Z I usually make my own cosmos, but thought is would be quicker to use a mix. Bad Idea. This particular flavor was soooo sweet. I had to keep adding lime to it to temper the sicky-sweetness. If you like sweet then this is for you. Does not taste like a true cosmo with their recipe.",0
2017-09-02T07:55:36Z These rolls were much smaller than Pillsbury's and much harder to get out of the can. They ripped and shredded making them just about worthless. I will not purchase again.,0
"2017-09-23T02:53:08Z We us both use the original jar and tube. My son use it all the time. I buy it in bulk. Mu son use it a lot, he is outside with sports. So we have to keep a lot of it. We don't see much of the other flavors, just strawberry or cherry, we stick to the originals jars and tubes.",1
2017-09-20T01:18:35Z Good value for the item. My son loves it as a afternoon/evening small meal,1
2017-08-05T04:28:57Z Must use a lot as it wasn't that strong,0
"2017-11-15T17:05:21Z I am a Pinot Noir wine drinker generally, but the Pinot Noir in this case is terrible, even after decanting. Have tried two of the Pinot bottles and a few of each of the others. I actually prefer the Cab over anything in the case and I usually don't like cabs.",0
2017-09-02T07:55:36Z the dough stuck together and only made 6 somewhat triangles. Won't buy this again . Sticking with Pillsbury,0
2017-09-20T01:18:35Z with real coconut water or on the rocks .,0
"2017-09-20T01:18:35Z A delicious blended wine ... give it a try, you might be surprised",1
2017-09-23T02:53:08Z Of all the choices that are out there this is the go to for me. The only thing that really works as soon as it is applied.,0
"2017-09-02T07:55:32Z Spicy, terrific Bloody Mary mix!",1
2017-09-07T20:13:07Z easy to chew the taste is pretty good too,1
2017-09-23T02:53:08Z It took me 3 orders to get the right product. The Collins mix was to sweet for my taste. I tried diluting the mix to cut down on the sweetness but to no avail. I found a product called Polar Tom Collins mix which was almost perfect and can be purchased on-line for a much lower price.,0
"2018-01-02T20:20:02Z I wish I had returned this wine, but only gradually used and each bottle was less than satisfying. Have ordered Vintage Wine Estates wine a few times before and very much enjoyed. O'Lerary's reserve wines were not of the same quality in my opinion and in the opinion of my book club members. Not sure if they were left in the heat somewhere along the way or just what, but just no happy with these and would not order again. Kevin presents himself as quite the wine producer and he is likely quite knowledgeable, but there is better wine available at lower cost.",0
"2018-01-10T16:05:20Z They don't state on the label how much ginger is in their ginger ale. I am to deduce that there isn't any, since they won't list it on the ingredients label.",0
2017-09-23T02:53:08Z It really works. And it feels soothing too. Just what I want.,1
"2017-09-23T02:53:08Z I've been using this since I was a kid, nothing beats this for severely dried and cracked lips.",1
2017-09-02T07:55:36Z They work perfectly for my homemade donuts!,1
"2017-08-15T03:05:22Z This is amazing!! I was shocked by how smooth, and tasty it was!! Usually I do not buy cocktail mixes but a friend recommended this one to me, and I am so glad she did. I love it! It will defiantly be a staple in my home and parties!!",1
"2017-12-01T08:01:02Z I purchased the 12 bottle mixed package to sample something new to me in the rose and meritage. I usually drink Pinot Noir and Chardonnay or Pinot Grigio. I wish the wines lived up to their descriptions, but sadly they did not. I realize tastes are subjective, but for me, the Chardonnay was very tart and without any full taste. I would not order these again..",0
"2018-01-02T20:20:01Z I will never order again! ""Two buck Chuck"" has better taste!",0
2018-01-02T20:20:02Z I purchased the Pinot Noir and it was terrible. Dumping it and won’t purchase again .,0
"2017-09-23T02:53:08Z I use Clamato to make Bloody Mary's, 1/2 Clamato, 1/4 vodka, 1/4 ZingZang. Mix and enjoy!",1
2017-08-15T03:05:22Z I wasn't too sure about this at first because it was so inexpensive...but thought I'd give it a shot. It far exceeded all expectations!!! So delicious and smooth!!! Super impressed! Plus it doesn't hurt that the guy on the bottle is cute...just sayin,1
"2018-01-02T20:20:01Z I have tried this wine before, but this batch was not good at all and I will never order again.",0
2017-09-20T01:18:35Z Rum Chata is great when mixed with Fireball or Caramel Vodka,1
"2017-09-23T02:53:08Z I love this and drink it without alcohol every day. But, it is practically non existent in the stores. You can find Bold Spicy but not this. And why does this cost almost 2.00 more per bottle then the Bold Spicy",1
2017-09-23T02:53:08Z This is very Convieant to use. You can just throw it in your purse. Also can get every last drop out.,1
2017-09-06T04:49:34Z Very small amount for the price. Won't make this mistake again! Disappointed to say the least!,0
2016-07-26T20:28:19Z This package arrived when they said it would - it was also packed beautifully - nothing broken!,1
"2017-09-02T07:55:36Z Actually, the Great Value crescent rolls in my area's Walmarts come in a white package with black and blue writing ... plus a picture of a couple beautiful crescent rolls. Nonetheless, I expect my experience with this brand and product is applicable. I bought 2 dozen of the various types -- flaky butter, reduced fat, and standard -- and all had the same problems to some degree. Although I was using the rolls up to 3 weeks prior to the 30JUN13 expiration date on the end-cap of the packages, the dough in many packages was so dry (old poorly stored) that it would stick to the packaging. And it was impossible to unroll the dough.. I had to pry off chunks ... and then try to put the chunks together like a jigsaw puzzle into some Frankenrolls. The other reviews say the SAME THING ... going back as far as 2009. And now I'm extending that same complaint to mid-2013. Why has Walmart continued to deal with the same supplier despite the same problem for AT LEAST 4 years My recommendation: Spend the extra 24 cents (or whatever) on the real thing: Pillsbury crescent rolls.",0
"2017-08-05T04:29:00Z This stuff has just the right amount of heat - enough to be worth using, but not so much that you can make your cocktails undrinkable without effort. I put it in any cocktail that needs a little bite, and have been happy with the results.",1
2017-11-13T16:03:41Z This whole order was a nightmare from day one ...after almost 2 weeks it came I wish it didn���t...I gifted 2 bottles to my son & when he sent me a text how awful it was & that he dumped it down the drain I was horrified to say the least ...luckily it was my son because I bought these for holiday gifts ...QVC needs more quality control for items like this we work hard for our money & spending it on something I will be dumping down the drain is not acceptable...I was refunded my money but it still is very upsetting that this Vintage wine Estates sells such garbage to a reputable company like QVC,0
2017-09-02T07:55:32Z Delish. Extremely good,1
2017-09-23T23:01:18Z This is my favorite bourbon. I even love its aroma. It has that nice vanilla scent going on. I never get tired of Jim Beam Black.,1
2017-09-20T01:18:35Z Great for Bloody Mary's or a dressed chelada!,1
2017-09-02T07:55:36Z The dough was not was to unroll or separate. Disappointed,0
"2017-09-23T02:53:08Z I bought this product to protect my lips from the hot desert sun and it works great!! I love, love, love my little yellow jar!!",1
"2018-01-02T20:20:02Z If you're a selective wine drinker, don't buy this. It's mediocre at best. Will likely end up using for cooking.",0
2017-09-20T01:18:35Z We have been drinking this wine for 10+ years. It's just a good every day table wine that will not break the bank.,1
"2017-11-14T20:55:13Z I have purchased this wine with various cheaper brands and have liked it FAR more. Seemed very sour to me. Not mellow at all. PLUS, they did not mention that you need to sign for this wine during the presentation. Just they now deliver to PA. I found this out while tracking . My luck I was home the day of delivery. Will go to the local state store for my regular brand.",0
2017-01-30T18:37:07Z I have been drinking this Apothic California Crush for the past six months and find it totally refreshing. It is so smooth and flavorable. One bottle is usually not enough and I tend to buy six bottles at a time. Fortunately the price in Alaska is much cheaper which makes it even more desirable!,0
"2017-08-05T04:28:58Z Dump the plastic dropper rod attached to the cap immediately on receipt it pulls right off. Whether or not you like the taste of the product (I was pleased enough), the 4-inch plastic dropper rod, while very handy for adding drops of the bitters to one's drink in a measured manner, is made from an extremely foul source.Discovered this after having finished off a bottle of Bittermen's Grapefruit Bitters and leaving it on the shelf for a month, then opened up the bottle to add some gin and absorb the remains of the bitters to the quite empty bottle. An extremely foul toxic smell emerged immediately investigating, I found it to unmistakably be the plastic dropper rod attached to the bottle cap. While immersed in the strong-smelling and -tasting bitters solution, it's disguised. When not, well, ... it is just revolting. Try it see for yourself.No one should be ingesting any substance steeped in this material. Bittermen's, you really gotta clean up your act with that dropper rod.",0
2017-08-05T04:28:57Z Did not like the flavor of these,0
"2018-01-10T11:51:07Z I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",1
"2017-07-25T05:50:17Z Don't waste your money. Over-rated, over-priced. You could make your own by looking up an online recipe and wouldn't be able to tell the difference.",0
2017-09-02T07:55:36Z Not soft like Orowheat!! Feel disappointed,0
2017-09-20T01:18:35Z Seriously You ask what's great about it What isn't great about it,1
"2016-07-26T20:28:24Z I almost cant believe all of the good reviews for these wines. We pretty much couldn't even drink them because they are so sweet, thick and jammy. Like fruit juice. We started with the Pinot Noir and after a few sips, aerating and then a few more sips with dinner, we just poured it out. It did not resemble any Pinot I've had before. So we moved on to the Cabernet - and it was almost the same thing. I haven't tried the Merlot yet but not looking forward to it. If I had bought these at a local shop they would be returned. Unfortunately, I that's not an option since they are open and mail order. Maybe the rest can be frozen for cooking. I do love that this producer gives back to charities, more companies should follow their lead in that respect.",0
"2017-09-20T01:18:35Z My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",1
"2016-07-26T20:28:24Z The Merlot was harsh, it has my throat burning like moonshine. Never tasted wine like this before. Hope it is just a bad bottle",0
2017-09-07T18:14:19Z thise wine is a copy cat of the original. Not nice and the taste is terrible.,0
"2017-09-23T02:53:08Z I have a lip balm jar in my car, in my night stand and in my purse. Use it on a daily basis and would certainly hate to run out. It is wonderful stuff, and smells god too.",1
2017-09-23T02:53:08Z This is always a nessesity on my shopping cart!!! :),1
"2017-08-05T04:28:59Z On the advice of a highly knowledgeable relative, I bought this as a stocking stuffer for another family member. It was a big hit, and I must say, very interesting addition to a cocktail. Now I need some.",1
"2017-09-02T07:55:36Z First off, I could not get the package open. Then, when I opened it, there was no way to roll out the crescent shapes to form actual crescents. I had to break off bits of dough, roll them in my hands, and make drop biscuits. Terrible!",0
2017-09-23T02:53:08Z I've been using this since the 80's...always loved it...never gonna change!!,1
2017-08-15T03:05:22Z I used this Manhattan Mixer at our weekend pool party and it was an absolute hit!!! Cocktails were delicious and simple to make. It was one of the conversational pieces of the party!!!,1
"2017-09-06T04:49:34Z Mr. Mrs. at its best! If you haven't tried it, you haven't lived. Walmart is the place to buy no matter what size your bank account is.",1
"2017-09-06T04:49:34Z This product did not have any flavor, it was very bland to call itself spicy.",0
"2017-11-15T17:05:21Z You get what you pay for, I got it for $8.25 a bottle and that's about all it is worth. I should of known better. but it's free s&h,. I was disappointed it's all from the same vintner and not as the labels show different wineries. It was just the ease of delivery. I live in California and have so many options of good wines. One and only purchase. Q does not know good wines!",0
2017-09-02T07:55:36Z Not as good as pilsbury. The cressants did not come off easily. They stuck together. Terrible experience,0
"2017-09-20T01:18:33Z We opened the bag and see nice sized chunks of chicken. We were mistaken, we see maybe 3 or 4 pieces of good sized chunks but the rest were tiny and mostly breading.",0
2017-09-20T01:18:35Z Are you not selling Oak Leaf wine in a box anymore We have been to 2 different Wal Marts without finding any. This in a box is great. Please do not stop carrying it.,1
